rs_sv_chem_l;rs_sv_tronc_l
2173707;10289
2174335;1355
2173398;9432
2174335;2819
2173367;9333
2173987;9333
2174237;2993
2173491;4387
2174334;3964
2173691;13291
2173507;2893
2173618;1389
2173503;1849
2174142;1849
2173523;13007
2174141;2886
2173516;1838
2173730;384
2173820;457
2174396;1416
2174447;1416
2174298;14281
2174303;14281
2174356;4908
2174359;4908
2174335;4894
2174338;4894
2173575;2649
2173710;2649
2174214;1920
2174334;1920
2173690;13322
2173691;13322
2173694;13322
2173696;13322
2174303;13322
2173491;10685
2174295;1921
2174296;1921
2174298;1921
2174334;1921
2174348;1921
2173838;1206
2173696;13338
2173697;13338
2173855;411
2173503;387
2173507;387
2173694;13286
2173856;1932
2173406;2847
2173707;2847
2174313;2847
2174314;2847
2174336;2847
2174349;2847
2173707;1770
2174215;1770
2174312;1770
2174314;1770
2174339;1770
2174349;1770
2174287;6824
2173981;404
2174215;404
2174349;404
2174338;395
2174295;6742
2174334;1940
2173743;4490
2173748;339
2173472;4254
2173472;1947
2173472;3736
2173802;3736
2173810;4734
2173425;12831
2173749;12831
2173886;12831
2174366;829
2174387;829
2174396;829
2174403;829
2174436;829
2174417;14247
2174424;14247
2173463;1962
2174252;1962
2174387;1962
2174396;1962
2174409;1962
2174436;1962
2173406;1415
2173465;1415
2173406;4239
2173417;4239
2173542;4239
2173837;4239
2173616;2467
2173617;2467
2173619;2467
2174213;2467
2174215;2467
2174271;2467
2174312;2467
2174337;2467
2173618;1482
2173707;1482
2174212;1482
2174269;1482
2174313;1482
2174314;1482
2174327;1482
2173710;1357
2174270;4817
2174332;4817
2174352;4817
2173887;7410
2174296;12617
2173367;1718
2173367;1974
2173798;6803
2173799;6803
2174050;4902
2174096;4902
2174102;4902
2174103;4902
2174138;4902
2174154;4902
2174052;4219
2174097;4219
2174176;4219
2174190;4219
2174193;4219
2173828;6793
2173737;1915
2173371;1993
2173511;2287
2173513;2287
2173514;2287
2173516;2287
2173517;2287
2173770;2287
2173881;2287
2173902;3662
2173397;2099
2173377;1211
2173496;3812
2173891;3861
2173865;1430
2173380;1266
2173381;1266
2173864;2745
2173381;2115
2173468;634
2173801;12550
2173748;796
2173758;2307
2173605;2267
2173540;1369
2173881;2586
2173623;2468
2173710;2468
2174236;2468
2174326;2468
2174332;2468
2174352;2468
2173420;718
2173874;4359
2173879;4359
2173880;4359
2173742;1317
2174143;6945
2173411;3496
2173414;3496
2174267;4454
2174447;4454
2174456;4454
2174460;4454
2174465;4454
2173497;4636
2173785;1777
2173617;2627
2173618;2627
2173619;2627
2173742;2627
2173743;2627
2173849;3516
2174188;3516
2173381;1118
2173837;1195
2173838;1195
2173853;1195
2173882;707
2173805;1468
2173806;1468
2174252;2135
2174368;2135
2174433;2135
2173803;2688
2173634;3307
2173638;3307
2173837;1578
2173790;1851
2173859;1851
2173860;1851
2173376;739
2173634;739
2173635;739
2173636;739
2173638;739
2173377;890
2173484;293
2173485;293
2173798;293
2173648;1370
2173649;1370
2173623;2558
2173869;2558
2173870;2558
2173872;2558
2173785;471
2173786;471
2173788;471
2173859;471
2173804;245
2173623;4000
2173455;4361
2173864;983
2173542;872
2173376;2379
2173377;2379
2173635;2379
2174243;1881
2174360;1881
2173617;2559
2173618;2559
2173867;2559
2173734;4726
2173484;3433
2173485;3433
2173616;7434
2173617;7434
2173748;1244
2173749;1244
2173549;416
2174252;3180
2174369;3180
2173737;14107
2173869;14107
2173617;786
2173619;786
2173425;1376
2173623;1376
2173623;340
2173478;2150
2174265;625
2174453;625
2174417;2121
2173634;3147
2174252;3842
2174403;3842
2174433;3842
2173806;4415
2173645;3148
2173649;3148
2173790;3506
2173792;3506
2173873;1299
2173881;2221
2173517;2238
2173463;1643
2173617;1643
2173649;1643
2173867;5361
2173860;2075
2173479;667
2173748;240
2173407;2001
2173407;878
2173902;4011
2173397;2338
2173773;548
2173377;950
