nom|lat|lng|type|capacite|seuil
Le Village|44.844224|-0.574823|Mairies / administrations|200|3
Local Commercial Domofrance|44.839993|-0.569804|Centres commerciaux|0|2
Local Commercial Sarl Cafi|44.842046|-0.579288|Centres commerciaux|0|4
Local Commercial Sarl Piedra|44.850983|-0.569732|Centres commerciaux|0|2
Local Commercial Sci Richemont|44.836059|-0.572973|Centres commerciaux|0|4
Local Commercial Superdry|44.839497|-0.571955|Centres commerciaux|19|3
Local De Pre Collecte Mutualise|44.851452|-0.575275|Salles de spectacle / conférences|19|3
Local France Telecom|44.841729|-0.578483|Centres commerciaux|0|4
Local Tiers-Lieu Laplanche|44.832551|-0.568358|Écoles / collèges / lycées|88|3
Locaux Commerciaux - Commerce A -  Boutique Eurolines|44.822734|-0.553899|Salles de spectacle / conférences|40|4
Locaux D'Activites|44.842423|-0.622533|Mairies / administrations|0|8
Locaux De Ventes Emmaus|44.822494|-0.580989|Centres commerciaux|0|6
Locaux Des Societes D'Agents Sncf|44.817649|-0.564094|Salles de spectacle / conférences|285|6
Magasin Carrefour Market|44.835607|-0.570493|Centres commerciaux|1369|3
Magasin Com 8|44.834224|-0.573192|Centres commerciaux|17|4
Magasin D'Optique|44.842423|-0.622533|Centres commerciaux|10|8
Magasin De Mode|44.842944|-0.575163|Centres commerciaux|0|3
Magasin De Vente|44.819706|-0.597826|Centres commerciaux|72|8
Magasin De Vente D'Une Station Service|44.855158|-0.592299|Centres commerciaux|43|6
Magasin De Vente De Pret A Porter|44.840801|-0.577794|Centres commerciaux|0|4
Magasin Fransy|44.839544|-0.568733|Centres commerciaux|28|2
Magasin General -  Caserne Niel - Darwin|44.849663|-0.561249|Centres commerciaux|574|2
Magasin Go Sport|44.83959|-0.574067|Centres commerciaux|1352|3
Magasin Ikea|44.88067|-0.570246|Centres commerciaux|5450|7
Magasin Jane De Boy|44.842601|-0.571217|Mairies / administrations|0|2
Magasin Laurence D - Saint Prix|44.844243|-0.577723|Centres commerciaux|0|4
Magasin Lego|44.841038|-0.575|Centres commerciaux|0|3
Magasin Lidl|44.876745|-0.543695|Centres commerciaux|478|2
Magasin Lothaire|44.841627|-0.578682|Centres commerciaux|105|4
Magasin Lush Fresh|44.841038|-0.575|Centres commerciaux|41|3
Maison Urbis Park|44.841376|-0.570977|Mairies / administrations|3|2
Mam Et Moi|44.840121|-0.587347|Écoles / collèges / lycées|3|5
Mam Sacrée Marmaille|44.853852|-0.588897|Écoles / collèges / lycées|12|6
Marche De La Poesie|44.856355|-0.568436|Salles de spectacle / conférences|1050|3
Marche Des Capucins Halle A Banc 15 C|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Hall A-Pizzeria|44.83769|-0.567465|Centres commerciaux|0|2
Marche Des Capucins-Halle A-Banc 2 Cd|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 29 Et 29 B|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 3 A C|44.838714|-0.596208|Centres commerciaux|0|6
Marche Des Capucins-Halle A-Banc 5 C|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 5 D|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 8 D|44.838714|-0.596208|Centres commerciaux|0|6
Marche Des Capucins-Halle B|44.838714|-0.596208|Centres commerciaux|0|6
Marche Naba|44.842025|-0.547028|Centres commerciaux|140|4
Maroquinerie Mialet|44.841569|-0.581465|Centres commerciaux|15|4
Maternelle Achard|44.871358|-0.547286|Écoles / collèges / lycées|110|2
Maternelle Le Point Du Jour (Ex Claveau)|44.880215|-0.548878|Écoles / collèges / lycées|150|4
Mercure Formation|44.848043|-0.596873|Écoles / collèges / lycées|18|6
"Micro Crèche ""Pas A Pas"""|44.87971|-0.5721|Écoles / collèges / lycées|14|7
Micro Creche Comme 3 Pommes|44.83567|-0.575493|Écoles / collèges / lycées|10|4
Micro Creche Les Cabanes In The Jungle|44.831685|-0.602904|Écoles / collèges / lycées|10|7
Micro Crèche Meriadeck|44.842226|-0.593543|Écoles / collèges / lycées|9|6
Micro Creche Square Rougerie|44.858468|-0.630642|Écoles / collèges / lycées|11|9
Millesime 2014 Union Des Grands Crus De Bordeaux|44.856355|-0.568436|Halls d'exposition|5619|3
Mutuelle Mgen|44.837943|-0.570173|Mairies / administrations|12|3
Nad' Hotel Restaurant|44.823615|-0.579763|Hôtels / hébergements|77|6
Office Notarial Rouzet Brehant|44.84372|-0.576246|Mairies / administrations|8|3
Otto|44.840188|-0.579618|Centres commerciaux|38|4
Palais Des Congresarbre De Noel Des Ce 2019|46.327502|-0.471609|Salles de spectacle / conférences|6141|9
Pallio Outlet Store|44.858458|-0.562943|Centres commerciaux|35|3
Papa Pique Et Maman Coud|44.839078|-0.579151|Centres commerciaux|13|4
Parapharmacie Le Comptoir Sante|44.856656|-0.56212|Centres commerciaux|78|2
Parc Des Expositions Batiment Stockage|44.83769|-0.567465|Halls d'exposition|0|2
Parcours Formation|44.825563|-0.588473|Écoles / collèges / lycées|0|7
Patisserie|44.841056|-0.589149|Centres commerciaux|19|6
Pause Nat|44.84039|-0.569416|Centres commerciaux|3|2
Pharmacie Des Halles|44.833051|-0.594796|Centres commerciaux|12|7
Pharmacie Gambetta|44.841739|-0.580445|Centres commerciaux|7|4
Pharmacie La Fleche|44.834956|-0.566626|Centres commerciaux|46|3
Pharmacie Monge|44.838492|-0.573885|Centres commerciaux|186|3
Pharmacie Principale|44.841502|-0.574381|Centres commerciaux|0|3
Pharmacie Saint Jean|44.825729|-0.557384|Centres commerciaux|9|4
Piscine Aquagym|44.860685|-0.613293|Gymnases / sports couverts|10|8
Poiray Bordeaux|44.841612|-0.579791|Centres commerciaux|15|4
Pokeo (Ex Boulangerie)|44.837377|-0.573704|Centres commerciaux|31|4
Pôle D'Accueil Et D'Hébergement Social Ravezies|44.823679|-0.613082|Hôtels / hébergements|155|8
Pole Emplois Ravezies|44.832083|-0.611477|Mairies / administrations|148|8
Polyclinique Bx Nord:Centre D'Hemodialyse|44.86391|-0.578468|Hôpitaux / cliniques|153|6
Pré Dégustation Négoce Grands Crus De Bordeaux|44.856355|-0.568436|Halls d'exposition|5619|3
Preservation Fonciere Assurances|44.855112|-0.573651|Mairies / administrations|0|3
Quincaillerie Bejottes|44.842364|-0.579086|Centres commerciaux|46|4
R.P.A Et Club Senior Chantecrit|44.862359|-0.562775|Salles de spectacle / conférences|80|4
R.P.A. Et Club Senior Armand Faulat|44.852352|-0.636178|Salles de spectacle / conférences|197|9
Raidfox|44.837562|-0.57485|Centres commerciaux|8|4
Residence De Tourisme|44.84632|-0.588074|Hôtels / hébergements|206|5
Residence Etudiants Anatole France|44.834536|-0.584536|Salles de spectacle / conférences|52|5
Residence Saint James Parc : Agence De La Societe Generale|44.850159|-0.604674|Mairies / administrations|0|7
Residence Sociale Mohamed Mechti-Espaces Collectifs|44.83261|-0.567905|Salles de spectacle / conférences|133|3
Residence-Service : Local Commun|44.834002|-0.598764|Salles de spectacle / conférences|66|7
"Restaurant ""Burger Fermier"""|44.84438|-0.589476|Centres commerciaux|47|6
Trial Indoor 14 Fevrier 2014|44.83489|-0.587663|Salles de spectacle / conférences|7212|6
Tribunal Administratif|44.835338|-0.581554|Mairies / administrations|75|5
Trocathlon Du 13 Au 20 Mars 2015|44.88067|-0.570246|Centres commerciaux|3654|7
Union Des Métiers Et Des Industries De L'Hotellerie De La Gironde|44.841171|-0.581879|Écoles / collèges / lycées|28|5
Université De Bordeaux : Amphi 4|44.825173|-0.607774|Écoles / collèges / lycées|292|8
Urban Eye|44.833732|-0.573232|Centres commerciaux|35|4
Veera Boxing|44.852118|-0.556765|Gymnases / sports couverts|0|2
Vente De Vins|44.852807|-0.580379|Centres commerciaux|0|4
Villa Clemenceau (Annulé Nouveau Numéro 5-20-00752)|44.843738|-0.579006|Centres commerciaux|0|4
Volume Capable Temoin|44.84039|-0.569416|Salles de spectacle / conférences|71|2
Week End Des Grands Crus  Le 30 Mai 2015|44.856355|-0.568436|Halls d'exposition|5619|3
Workshop Oenotourisme|44.856355|-0.568436|Halls d'exposition|5619|3
Yndo Hotel|44.844252|-0.583514|Hôtels / hébergements|27|5
Zac Hopital Des Enfants Ilot E : Commerce 2|44.826097|-0.577524|Centres commerciaux|39|6
Zac Hopital Des Enfants Ilot E : Commerces 1|44.826097|-0.577524|Centres commerciaux|47|6
Zac Saint Jean Belcier - Lot 8.3 C - Commerce (Coque) Local 01|44.82194|-0.553941|Centres commerciaux|14|4
Batiment A : Accueil Self-Stockage|44.888869|-0.54361|Centres commerciaux|17|3
Batiment A Usage De Bureaux|44.88302|-0.560903|Mairies / administrations|19|6
Batiment Ilot Mixte  Brazza|44.855345|-0.564534|Centres commerciaux|0|2
Bejote Shoes Art|44.852145|-0.571003|Centres commerciaux|0|2
Bijouterie Merguerditchian|44.839073|-0.579251|Centres commerciaux|12|4
Bijouterie Mornier|44.841897|-0.57457|Centres commerciaux|15|3
Bnp Paris Bas|44.840374|-0.599461|Mairies / administrations|12|7
Bordeaux Inp - Extension / E.N.S.T.B.B - Bâtiment B|44.822135|-0.606361|Écoles / collèges / lycées|162|8
Bordeaux Sg Au Hangar 14|44.856355|-0.568436|Halls d'exposition|5619|3
Bordeaux So Good|44.862132|-0.587876|Salles de spectacle / conférences|0|6
Boucherie Capucins|44.838714|-0.596208|Centres commerciaux|0|6
Boucherie Dupuy|44.833121|-0.58177|Centres commerciaux|0|5
Bouillon D'Art|44.862132|-0.587876|Mairies / administrations|0|6
Boulangerie Patisserie Sarl Dime|44.851674|-0.586889|Centres commerciaux|10|5
Bourse De L'Immobilier|44.838194|-0.567683|Centres commerciaux|13|2
Bourse De L'Immobilier|44.841694|-0.557903|Mairies / administrations|0|3
Boutique Calzedonia|44.83781|-0.573898|Centres commerciaux|18|3
Boutique D'Habillement|44.842666|-0.575102|Centres commerciaux|9|3
Boutique Edf Gambetta|44.841708|-0.580841|Mairies / administrations|10|4
Boutique Gerard Darel|44.842187|-0.577353|Centres commerciaux|45|4
Boutique Lovisa Ex-Saga Cosmetics|44.840955|-0.574413|Centres commerciaux|12|3
Boutique Renault|44.846516|-0.58189|Centres commerciaux|0|4
Boye Construction Sci Aroman|44.837562|-0.556486|Centres commerciaux|0|2
Bureau D'Architecte|44.841661|-0.545917|Mairies / administrations|2|4
Bureau De Poste|44.843368|-0.629146|Mairies / administrations|15|9
Bureau De Poste|44.835816|-0.567082|Mairies / administrations|19|2
Bureaux (Magasins Aux Vivres De La Marine)|44.864328|-0.5498|Mairies / administrations|72|2
Bureaux Sas Roquelor|44.842583|-0.595258|Mairies / administrations|0|6
C.C.Auchan Lac :  Pharmacie Du Mail|44.88067|-0.570246|Centres commerciaux|70|7
C.C.Auchan Lac: La Chaise Longue|44.88067|-0.570246|Centres commerciaux|26|7
C.C.Auchan Lac: Louis Pion|44.88067|-0.570246|Centres commerciaux|5|7
C.C.Leclerc St Louis: Pressing|44.862954|-0.567368|Centres commerciaux|0|4
C.C.Les Bastides: Locaux Du Conseil General|44.843955|-0.542428|Mairies / administrations|44|5
C.C.Les Bastides: Poste|44.843955|-0.542428|Mairies / administrations|15|5
C.C.Meriadeck: Boutique Okaidi|44.837959|-0.584904|Centres commerciaux|24|5
C.C.Meriadeck: Hema (Ex Maisons Du Monde)|44.837959|-0.584904|Centres commerciaux|0|5
C.C.St Christoly: Bruno Flaujac Cheveux Et Barbes (Ex Les Delices Du Bain)|44.839286|-0.576552|Centres commerciaux|4|4
C.C.St Christoly: Cup N Cake|44.839286|-0.576552|Centres commerciaux|8|4
C.C.St Christoly: Dab Bnp Paribas|44.839286|-0.576552|Centres commerciaux|0|4
C.F.A Lycee G Eiffel|44.829423|-0.562416|Écoles / collèges / lycées|250|3
C.F.P.A.: Batiments  M Et N|44.84602|-0.621423|Écoles / collèges / lycées|56|8
C.F.P.A.: Batiments F.G.H.I.J|44.84602|-0.621423|Écoles / collèges / lycées|126|8
C.M.B.T.P.|44.829252|-0.56407|Écoles / collèges / lycées|28|4
Cabinet Cg Avocats|44.831956|-0.600026|Mairies / administrations|0|7
Cabinet Coubris Courtois & Associes|44.862132|-0.587876|Mairies / administrations|0|6
Cabinet D'Avocat Monique Van Der Motte|44.842597|-0.575696|Mairies / administrations|0|3
Cabinet D'Avocats|44.838832|-0.574539|Mairies / administrations|0|3
Cabinet D'Avocats|44.834879|-0.577658|Mairies / administrations|3|5
Cabinet D'Avocats|44.835984|-0.582627|Mairies / administrations|15|5
Cabinet D'Expert Comptable Bernardin|44.84139|-0.55506|Mairies / administrations|2|3
Groupe  Scolaire Anatole France|44.83855|-0.582156|Écoles / collèges / lycées|436|5
Groupe Horaire|44.837879|-0.575324|Centres commerciaux|0|4
Groupe Scolaire Bassins À Flots N°1|44.850221|-0.59176|Écoles / collèges / lycées|510|6
Groupe Scolaire Paul Bert Maternelle|44.836187|-0.574381|Écoles / collèges / lycées|99|4
Groupe Scolaire Saint Genes:Bat Lycee Professionnel|44.824956|-0.581336|Écoles / collèges / lycées|389|6
Groupe Scolaire Saint Genes:Foyer|44.824956|-0.581336|Écoles / collèges / lycées|25|6
Groupe Scolaire Saint Genes:Salle Lefort|44.824956|-0.581336|Gymnases / sports couverts|125|6
Groupe Scolaire Thiers Maternelle|44.850104|-0.543403|Écoles / collèges / lycées|79|4
Groupement D'Etablissement Sci Nord Aquitaine|44.84039|-0.569416|Gymnases / sports couverts|907|2
Groupement D'Établissements|44.831503|-0.575303|Gymnases / sports couverts|205|5
Groupement D'Etablissements De La Cite Mondiale|44.849752|-0.570368|Écoles / collèges / lycées|314|2
Gymnase Brun|44.816974|-0.57401|Gymnases / sports couverts|350|6
Gymnase Nelson Paillou|44.823217|-0.573529|Gymnases / sports couverts|652|6
Hall D'Expositions|44.876629|-0.553099|Halls d'exposition|0|4
Halle Debat-Ponsan|44.84039|-0.569416|Centres commerciaux|0|2
Halle Debat-Ponsan  Bat B  Bureaux|44.84039|-0.569416|Mairies / administrations|198|2
Halte Garderie|44.852282|-0.572488|Écoles / collèges / lycées|19|3
Harmonie Mutuelle|44.837529|-0.576064|Mairies / administrations|8|4
Hashtag|44.837177|-0.572651|Centres commerciaux|22|3
Hors Piste|44.853995|-0.566388|Gymnases / sports couverts|179|2
Hotel 4 Etoiles|44.83482|-0.580601|Hôtels / hébergements|1109|5
Hotel Burdigala|44.839803|-0.586772|Hôtels / hébergements|517|5
Hotel Burdigala : Echoppe|44.839964|-0.587285|Salles de spectacle / conférences|175|5
Hotel De Poissac Rectorat De Bordeaux|44.837568|-0.581939|Salles de spectacle / conférences|0|5
Hotel De Region|44.836539|-0.589206|Mairies / administrations|459|6
Hotel De Tourisme Mama Shelter|44.8399|-0.577424|Hôtels / hébergements|1050|4
Hotel Des 4 Soeurs|44.843335|-0.574303|Hôtels / hébergements|60|3
Hotel Du Centre|44.841408|-0.577998|Hôtels / hébergements|30|4
Hotel Du Perigord|44.832573|-0.574099|Hôtels / hébergements|25|4
Hotel Du Theatre|44.841781|-0.574264|Hôtels / hébergements|40|3
Hotel Grill Campanile|44.889074|-0.563505|Hôtels / hébergements|435|6
Hotel La Tour Intendance|44.841239|-0.579634|Hôtels / hébergements|40|4
Hotel Meuble Lafontaine|44.827039|-0.570605|Hôtels / hébergements|0|5
Hotel Regina|44.825383|-0.55739|Hôtels / hébergements|80|4
Hotel Restaurant Méditerranée|44.824669|-0.56021|Hôtels / hébergements|53|4
Hotel Royal Medoc|44.844693|-0.576124|Hôtels / hébergements|90|3
I.N.S.E.R.M. Institut F.Magendie|44.838137|-0.622801|Écoles / collèges / lycées|0|8
I.T.E.C.H.|44.848963|-0.573202|Écoles / collèges / lycées|98|2
I.T.E.P. Liard Le Porz - Bât Accueil, Bât Sessad, Bât Central, Chapelle, Maturation|44.822002|-0.582619|Salles de spectacle / conférences|190|7
Ilot Lucien Faure C5 - Lf1 Commerce 2|44.835154|-0.567124|Centres commerciaux|83|3
Immeuble|44.84439|-0.576022|Mairies / administrations|0|3
Immeuble : Cabinet D'Assurance|44.844414|-0.604934|Mairies / administrations|10|7
Immeuble Bureaux/Cabinets Medicaux|44.82819|-0.611511|Mairies / administrations|55|8
Immeuble Cogedim Paul Mateu : Commerce 1|44.84791|-0.547771|Centres commerciaux|100|4
Immeuble De Bureau|44.824718|-0.584723|Mairies / administrations|2|6
Immeuble De Bureaux|44.843271|-0.578548|Mairies / administrations|80|4
Immeuble De Bureaux|44.84728|-0.594951|Mairies / administrations|0|6
Immeuble De Bureaux|44.868467|-0.548147|Mairies / administrations|19|3
Immeuble De Bureaux ( Bat 3 ).Point Centre.|44.833175|-0.597813|Mairies / administrations|86|7
Immeuble De La Poste : Banque Postale Espace Entreprises|44.839352|-0.583657|Mairies / administrations|18|5
Immeuble De Yrigoyen Pernod|44.843437|-0.574322|Salles de spectacle / conférences|295|3
Immeuble Le Concorde Esmi-Brassart|44.857923|-0.559733|Écoles / collèges / lycées|90|2
Immeuble Le G5 - Bureau B5|44.835091|-0.566165|Mairies / administrations|10|3
Immeuble Le Prisme|44.835731|-0.58825|Mairies / administrations|125|6
Immeuble Managers Saint Jean|44.82929|-0.555105|Mairies / administrations|66|2
Immeubles De Bureaux - Zac Saint Jean Belcier|44.829974|-0.581148|Mairies / administrations|10|6
Immeubles La Marjolaine : Dossier General|44.858372|-0.574765|Centres commerciaux|0|4
Impact Fight Night 4 Du 17 Mai 2014|44.862132|-0.587876|Gymnases / sports couverts|300|6
Imprimerie Demarq|44.836751|-0.574886|Mairies / administrations|0|4
"Institut De Soins "" Le Spa Au Masculin"""|44.852328|-0.570722|Mairies / administrations|10|2
Institut Superieur D'Optique Ex Iseg|44.847816|-0.583515|Écoles / collèges / lycées|199|5
Itep Stehelin: Salle Polyvalente|44.844737|-0.608021|Écoles / collèges / lycées|0|7
La Barbe De Monsieur|44.8424|-0.581435|Centres commerciaux|17|4
Les Delices Du Mitron|44.841981|-0.580084|Centres commerciaux|30|4
Les Delices Du Mitron|44.841213|-0.572907|Centres commerciaux|19|3
Les Francas D'Aquitaine|44.840154|-0.547774|Mairies / administrations|2|4
Les Jardins Des Quais : H 17 Dos Gen|44.8604|-0.555823|Centres commerciaux|0|2
Les Portes De Cauderan : Pharmacie Et Cabinet Medical|44.842724|-0.608604|Mairies / administrations|379|8
Les Terrasses De Thiers : Commerce|44.8449|-0.551888|Centres commerciaux|9|4
Local Associatif - Conciergerie - Residence Jeunes Actifs - Ilot Casteja|44.843521|-0.583398|Salles de spectacle / conférences|0|5
Local Clubs Boulistes Bordelais|44.875849|-0.549122|Salles de spectacle / conférences|195|3
Local Commercial|44.832587|-0.612389|Centres commerciaux|19|8
Local Commercial|44.84665|-0.597832|Centres commerciaux|0|6
Local Commercial|44.841427|-0.622177|Centres commerciaux|13|8
Local Commercial - Bassins A Flots - Ilot Tam Tam - Lot E|44.832674|-0.581669|Centres commerciaux|19|5
Local Commercial - Voir 5-20-00524-001 § 002 -|44.831413|-0.598777|Centres commerciaux|100|7
Local Commercial 2|44.833866|-0.571061|Centres commerciaux|0|4
Local Commercial 3 Bassins A Flots Ilot B3 Lot 4|44.822742|-0.597104|Centres commerciaux|54|8
Local Commercial B & L Associes|44.834656|-0.574398|Centres commerciaux|77|4
Local Commercial Sarl Made In|44.853764|-0.569643|Centres commerciaux|26|2
Local Commercial Sci Sussu|44.849517|-0.574999|Centres commerciaux|0|3
Local Commercial Tustal|44.838501|-0.574438|Centres commerciaux|0|3
Local Coque 02 - Quartier Armagnac Sud - Ilot 8.12|44.846704|-0.598669|Centres commerciaux|64|7
Local D'Activites N°2|44.82502|-0.576796|Centres commerciaux|0|6
Local D'Activites Rue Henri Dunant|44.832953|-0.579575|Mairies / administrations|0|5
Local D'Expositions Commerciales|44.829703|-0.584744|Centres commerciaux|17|6
Local Jeunes Science|44.81623|-0.555435|Écoles / collèges / lycées|70|5
Local Tailleur Jacques Naroyan|44.8425|-0.579013|Centres commerciaux|12|4
Locaux Associatifs|44.823595|-0.551617|Écoles / collèges / lycées|30|3
Locaux C.G.F.T.E.|44.837536|-0.588245|Mairies / administrations|19|6
Locaux Commerciaux - Gironde Habitat -|44.822709|-0.552729|Centres commerciaux|0|4
Locaux Evollis|44.836711|-0.581229|Mairies / administrations|0|5
Loto Du 13 Fevrier 2016|44.816974|-0.57401|Gymnases / sports couverts|350|6
Maison De Retraite Henry Dunant|44.826588|-0.59257|Hôpitaux / cliniques|88|7
16Ème Journée Echo Doppler Cardio-Vasculaire|44.872645|-0.571176|Salles de spectacle / conférences|6141|6
20Ème Salon Projet Habitat|44.856355|-0.568436|Halls d'exposition|5619|3
33 Retouches|44.840851|-0.573478|Mairies / administrations|0|3
43Ème Challenge International Du Vin|44.872645|-0.571176|Salles de spectacle / conférences|6141|6
49Ème Congrès De L'Adbu|44.856355|-0.568436|Halls d'exposition|5619|3
8 À Huit|44.835458|-0.569535|Centres commerciaux|83|3
Access Images|44.839866|-0.581288|Centres commerciaux|28|5
Adonis Bordeaux Gironde Ex Formasup|44.844259|-0.576987|Écoles / collèges / lycées|45|3
Afpa Pôle Bois|44.845943|-0.62295|Écoles / collèges / lycées|56|8
Agence  De La Poste . Batiment Neuf|44.850926|-0.586395|Mairies / administrations|19|5
Agence Adecco|44.848296|-0.575593|Mairies / administrations|7|3
Agence Ag2R La Mondiale Enghien|44.845854|-0.576066|Mairies / administrations|8|3
Agence Argus Immobilier|44.840713|-0.579911|Mairies / administrations|7|4
Agence Bancaire Bnp Paribas|44.830506|-0.603671|Mairies / administrations|18|8
Agence Bancaire Bnp Paribas|44.835827|-0.567911|Mairies / administrations|19|3
Agence Bancaire Bnp Paribas Barriere De Toulouse|44.842286|-0.578234|Mairies / administrations|8|4
Agence Bancaire Cic Sud-Ouest|44.832867|-0.579219|Mairies / administrations|15|5
Agence Bancaire Credit Mutuel|44.841882|-0.579048|Mairies / administrations|30|4
Agence Bancaire Du Cic|44.825345|-0.588929|Mairies / administrations|14|7
Agence Bancaire Du Cic Eglise De Cauderan|44.851995|-0.614244|Mairies / administrations|8|8
Agence Bnp Paribas Bordeaux Ravezies|44.847382|-0.575319|Mairies / administrations|8|3
Agence Bouygues Telecom|44.836524|-0.573687|Centres commerciaux|13|4
Agence Commerciale De La Banque Populaire|44.825534|-0.589341|Mairies / administrations|9|7
Agence Credit Mutuel|44.836652|-0.581094|Mairies / administrations|0|5
Association Des Loisirs Educatifs|44.854378|-0.583872|Salles de spectacle / conférences|40|5
Association Educative Ein Gedi|44.827172|-0.5942|Écoles / collèges / lycées|15|7
Assour Et Summer|44.839827|-0.579919|Centres commerciaux|0|4
"Atelier ""Viens Jouer A La Maison"""|44.838462|-0.578611|Écoles / collèges / lycées|0|4
Atelier Communautaire|44.83182|-0.564234|Mairies / administrations|0|3
Au Cornet D'Amour|44.832093|-0.572771|Centres commerciaux|4|4
Audition Sante|44.852328|-0.573579|Centres commerciaux|17|3
Auto Ecole Coc-Ci'Driver|44.815619|-0.572353|Mairies / administrations|15|6
Auto Ecole Omega|44.843774|-0.554518|Mairies / administrations|15|4
Bloc Technique|44.830385|-0.603262|Hôpitaux / cliniques|403|8
Bnp Paribas Paul Doumer|44.851909|-0.573516|Mairies / administrations|7|3
Boulangerie Le 48|44.862132|-0.587876|Centres commerciaux|0|6
Boulangerie-Patisserie Dominici|44.824831|-0.561254|Centres commerciaux|15|4
Bourse De L'Immobilier Chartrons|44.841253|-0.545085|Mairies / administrations|0|4
Bourse De L'Immobilier St Seurin|44.843456|-0.586544|Mairies / administrations|0|5
"Boutique "" Body Shop"""|44.841961|-0.575376|Centres commerciaux|19|3
Cabinet D'Avocats Mescam|44.848028|-0.572545|Mairies / administrations|0|2
Cabinet De Dermatologie|44.846496|-0.611636|Hôpitaux / cliniques|16|8
Cabinet De Dermatologie Wickers-Goyat Labbe|44.855028|-0.613971|Mairies / administrations|7|8
Cabinet De Kine|44.841671|-0.582654|Mairies / administrations|0|5
Cabinet De Kine Lavoignat-Lucas|44.833117|-0.588169|Mairies / administrations|14|6
Cabinet De Kinesitherapie|44.840141|-0.610365|Mairies / administrations|10|8
Cabinet De Kinesitherapie|44.842337|-0.591132|Mairies / administrations|0|6
Cabinet De Kinesitherapie Dr. Bertrand|44.82649|-0.576653|Mairies / administrations|0|6
Cabinet De Pedicure|44.851308|-0.576388|Mairies / administrations|0|4
Cabinet De Podologie|44.837662|-0.57348|Mairies / administrations|0|3
Cabinet De Podologie|44.819049|-0.576482|Mairies / administrations|3|6
Cabinet De Podologie Sylvie Sainturat|44.852277|-0.612634|Mairies / administrations|0|8
Cabinet De Psychiatre|44.843285|-0.596415|Mairies / administrations|0|6
Cabinet De Psychiatrie Alain Jacq|44.846257|-0.576179|Mairies / administrations|5|3
Cabinet De Psychiatrie Dr. Darsonville Et Ducoulombier|44.843715|-0.628607|Mairies / administrations|0|9
Cabinet De Reeducation Medicale|44.824858|-0.611809|Mairies / administrations|10|8
Cabinet De Sages Femmes De Cauderan|44.842423|-0.622533|Mairies / administrations|0|8
Cabinet Dentaire|44.845769|-0.587144|Mairies / administrations|15|5
Cabinet Dentaire|44.833868|-0.589872|Mairies / administrations|5|6
Cabinet Dentaire Dr Faihy|44.839428|-0.581345|Mairies / administrations|0|5
Cabinet Infirmière, Ostéopathe Et Kinésithérapeute|44.839794|-0.585576|Mairies / administrations|4|5
Cabinet Medical|44.845107|-0.618298|Mairies / administrations|34|8
Cabinet Medical|44.855142|-0.590066|Mairies / administrations|0|6
Cabinet Medical|44.852981|-0.574468|Mairies / administrations|0|3
Cabinet Medical|44.857327|-0.570467|Mairies / administrations|6|3
Cabinet Medical|44.835841|-0.577455|Mairies / administrations|5|4
Cabinet Medical|44.845137|-0.576245|Mairies / administrations|8|3
Cabinet Medical|44.832556|-0.567912|Mairies / administrations|8|3
Cabinet Medical|44.842423|-0.622533|Mairies / administrations|5|8
Cabinet Medical|44.843856|-0.57199|Mairies / administrations|49|2
Cabinet Medical|44.840749|-0.586483|Mairies / administrations|0|5
Cabinet Medical|44.85261|-0.617175|Mairies / administrations|4|8
Cabinet Medical|44.839846|-0.553339|Mairies / administrations|0|3
Cabinet Medical|44.825443|-0.557913|Mairies / administrations|40|4
Cabinet Medical - Lam Tan Binh|44.823003|-0.570356|Mairies / administrations|0|5
Cabinet Medical Blaise|44.819889|-0.601569|Mairies / administrations|0|8
Cabinet Medical Docteur Chevrot|44.873024|-0.547067|Mairies / administrations|10|3
Cabinet Medical Dr. Ducourneau|44.862132|-0.587876|Mairies / administrations|0|6
Cabinet Medical Etesse|44.833596|-0.581866|Mairies / administrations|0|5
Cabinet Medical Grivart|44.851257|-0.577109|Mairies / administrations|1|4
Cabinet Medical Jordan|44.839174|-0.568989|Mairies / administrations|0|2
Cabinet Medical Saint Pierre Dr. Lorans|44.839117|-0.571683|Mairies / administrations|0|3
Cabinet Medico Chirugical Saint Augustin|44.820154|-0.598235|Mairies / administrations|0|8
Cabinet Paramedical Sci Kinecam|44.844051|-0.587341|Mairies / administrations|6|5
Cabinet Psychiatrie|44.846162|-0.575604|Mairies / administrations|43|3
Cabinet Rutte|44.844314|-0.583664|Mairies / administrations|0|5
Cabinet Thaury|44.813836|-0.573471|Mairies / administrations|0|7
Caisse D'Epargne - Ilot Lucien Faure C5 - Lf4|44.835091|-0.566165|Centres commerciaux|0|3
Caisse D'Epargne Aquitaine Poitou Charente Achard|44.872627|-0.546804|Mairies / administrations|0|2
Caisse D'Epargne Dossier General|44.862132|-0.587876|Mairies / administrations|0|6
Caisse Primaire Assurance Maladie:Centre N°8|44.849005|-0.599347|Mairies / administrations|12|7
Calvin Klein|44.852807|-0.580379|Centres commerciaux|101|4
